posting_date,amount,account,account_name,cost_center,profit_center,vendor,customer,document_no,text
2025-04-06,-17596.36,6700,Marketing,CC400,PC-CONSULT,Agentur Kreativ,,BK100376,Online Kampagne April
2025-04-06,-16056.77,6800,Fortbildung,CC300,PC-CONSULT,Springer Verlag,,BK100384,Zertifizierung
2025-04-07,2903.69,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Charité Berlin,RE100089,Laboranalysen April
2025-04-07,2210.15,4100,Sonstige Erlöse,CC100,PC-DIAG,,Universitätsklinikum München,RE100136,Schulung Laborpersonal
2025-04-07,-29966.7,5000,Material Reagenzien,CC200,PC-CONSULT,Abbott,,BK100212,Nachbestellung Assays
2025-04-07,-16863.87,6300,IT-Kosten,CC200,PC-DIAG,IT-Service Partner,,BK100311,Microsoft 365
2025-04-07,-9755.86,6700,Marketing,CC200,PC-ADMIN,Agentur Kreativ,,BK100359,Broschüren
2025-04-07,-10997.65,6800,Fortbildung,CC200,PC-ADMIN,Akademie Medizin,,BK100382,Zertifizierung
2025-04-08,3201.53,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Charité Berlin,RE100061,Laboranalysen April
2025-04-08,16941.55,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Uniklinik Köln,RE100118,Rahmenvertrag Abrechnung
2025-04-08,-13025.27,6700,Marketing,CC200,PC-TRAIN,Google Ads,,BK100362,Online Kampagne April
2025-04-09,27253.93,4010,Umsatzerlöse Beratung,CC100,PC-CONSULT,,Uniklinik Köln,RE100000,Rahmenvertrag Abrechnung
2025-04-09,5576.59,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Uniklinik Köln,RE100099,Diagnostik Auftrag 100099
2025-04-10,68954.77,4000,Umsatzerlöse Labordiagnostik,CC100,PC-DIAG,,Praxis Dr. Weber,RE100031,Rahmenvertrag Abrechnung
2025-04-10,5286.08,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Uniklinik Köln,RE100071,Diagnostik Auftrag 100071
2025-04-10,1515.97,4100,Sonstige Erlöse,CC100,PC-CONSULT,,MVZ Labor Bremen,RE100123,Diagnostik Auftrag 100123
2025-04-10,-45847.9,5000,Material Reagenzien,CC200,PC-DIAG,Siemens Healthineers,,BK100216,Nachbestellung Assays
2025-04-10,-12770.8,5010,Material Verbrauchsmittel,CC400,PC-ADMIN,VWR International,,BK100249,Handschuhe Nachbestellung
2025-04-11,11708.86,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100167,Laboranalysen April
2025-04-11,-29755.51,5000,Material Reagenzien,CC500,PC-DIAG,Siemens Healthineers,,BK100223,Nachbestellung Assays
2025-04-11,-7020.69,6500,Beratungskosten,CC300,PC-ADMIN,Deloitte,,BK100333,Gutachten
2025-04-13,20933.26,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100010,Projektabrechnung Q2
2025-04-13,31974.71,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,MVZ Labor Bremen,RE100080,Beratungsleistung
2025-04-13,-25133.46,5000,Material Reagenzien,CC100,PC-DIAG,Abbott,,BK100173,Lieferung Testkits
2025-04-13,-30417.27,5000,Material Reagenzien,CC500,PC-CONSULT,Roche Diagnostics,,BK100200,Nachbestellung Assays
2025-04-13,-28854.62,6100,Miete Laborräume,CC100,PC-CONSULT,Immobilien AG,,BK100278,Miete April 2025
2025-04-14,76666.45,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100039,Beratungsleistung
2025-04-14,11711.86,4020,Umsatzerlöse Schulungen,CC300,PC-DIAG,,Charité Berlin,RE100054,Diagnostik Auftrag 100054
2025-04-14,22304.99,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Uniklinik Köln,RE100085,Rahmenvertrag Abrechnung
2025-04-14,24309.11,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100126,Rahmenvertrag Abrechnung
2025-04-14,-10492.36,6400,Reisekosten,CC500,PC-TRAIN,Booking.com,,BK100324,Kundenbesuch
2025-04-15,7600.82,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Charité Berlin,RE100013,Schulung Laborpersonal
2025-04-15,6523.54,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Krankenhaus Nordwest,RE100015,Projektabrechnung Q2
2025-04-15,51819.99,4000,Umsatzerlöse Labordiagnostik,CC100,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100040,Rahmenvertrag Abrechnung
2025-04-15,11874.91,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100082,Laboranalysen April
2025-04-15,-14620.5,5010,Material Verbrauchsmittel,CC100,PC-DIAG,VWR International,,BK100234,Pipettenspitzen
2025-04-15,-16219.38,6800,Fortbildung,CC500,PC-ADMIN,Akademie Medizin,,BK100379,Fachkongress
2025-04-16,74245.68,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,MVZ Labor Bremen,RE100072,Laboranalysen April
2025-04-16,4575.47,4100,Sonstige Erlöse,CC300,PC-DIAG,,Praxis Dr. Weber,RE100075,Laboranalysen April
2025-04-16,8565.13,4020,Umsatzerlöse Schulungen,CC100,PC-TRAIN,,Charité Berlin,RE100165,Schulung Laborpersonal
2025-04-16,-9054.91,6400,Reisekosten,CC300,PC-TRAIN,Deutsche Bahn,,BK100320,Kundenbesuch
2025-04-16,-5126.57,6600,Versicherungen,CC400,PC-TRAIN,AXA,,BK100355,Geräteversicherung
2025-04-17,8463.99,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100022,Diagnostik Auftrag 100022
2025-04-17,36459.71,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100064,Laboranalysen April
2025-04-17,21585.35,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Praxis Dr. Weber,RE100109,Projektabrechnung Q2
2025-04-17,-13226.06,5020,Fremdleistungen Labor,CC200,PC-CONSULT,Synlab,,BK100268,Fremdanalyse Spezialtest
2025-04-17,-7598.49,6400,Reisekosten,CC400,PC-DIAG,Booking.com,,BK100316,Dienstreise April
2025-04-17,-3945.48,6700,Marketing,CC500,PC-TRAIN,Google Ads,,BK100371,Messebeteiligung
2025-04-17,-13981.26,6700,Marketing,CC300,PC-TRAIN,Agentur Kreativ,,BK100374,Broschüren
2025-04-18,3392.34,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100037,Projektabrechnung Q2
2025-04-18,33141.32,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100078,Laboranalysen April
2025-04-18,-16746.22,5010,Material Verbrauchsmittel,CC100,PC-CONSULT,Merck,,BK100233,Handschuhe Nachbestellung
2025-04-19,4848.08,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100038,Projektabrechnung Q2
2025-04-19,20873.78,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100055,Diagnostik Auftrag 100055
2025-04-20,-12989.98,5000,Material Reagenzien,CC300,PC-ADMIN,Abbott,,BK100182,Lieferung Testkits
2025-04-21,6414.22,4100,Sonstige Erlöse,CC300,PC-DIAG,,Charité Berlin,RE100058,Projektabrechnung Q2
2025-04-21,-33185.16,5000,Material Reagenzien,CC200,PC-TRAIN,Abbott,,BK100220,Lieferung Testkits
2025-04-21,-12525.93,5010,Material Verbrauchsmittel,CC500,PC-CONSULT,Fisher Scientific,,BK100254,Pipettenspitzen
2025-04-21,-8932.42,6200,Wartung Geräte,CC500,PC-TRAIN,TechService GmbH,,BK100296,Service Zentrifuge
2025-04-21,-18700.2,6500,Beratungskosten,CC200,PC-CONSULT,Deloitte,,BK100339,Prozessoptimierung
2025-04-22,18476.29,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100024,Projektabrechnung Q2
2025-04-22,-6689.92,5000,Material Reagenzien,CC300,PC-CONSULT,Siemens Healthineers,,BK100172,Nachbestellung Assays
2025-04-22,-12960.78,5010,Material Verbrauchsmittel,CC400,PC-DIAG,VWR International,,BK100232,Verbrauchsmaterial April
2025-04-22,-12754.25,6700,Marketing,CC300,PC-CONSULT,Agentur Kreativ,,BK100365,Online Kampagne April
2025-04-22,-14899.99,6900,Sonstige Aufwendungen,CC500,PC-DIAG,Diverse,,BK100398,Kleinmaterial
2025-04-23,13967.76,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Uniklinik Köln,RE100107,Projektabrechnung Q2
2025-04-23,-15005.24,6500,Beratungskosten,CC200,PC-TRAIN,Deloitte,,BK100349,Prozessoptimierung
2025-04-24,3714.6,4100,Sonstige Erlöse,CC300,PC-DIAG,,Uniklinik Köln,RE100004,Rahmenvertrag Abrechnung
2025-04-24,4637.42,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100113,Rahmenvertrag Abrechnung
2025-04-24,45497.11,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Charité Berlin,RE100124,Beratungsleistung
2025-04-24,-62011.87,5000,Material Reagenzien,CC100,PC-TRAIN,Siemens Healthineers,,BK100176,Lieferung Testkits
2025-04-24,-8428.86,5010,Material Verbrauchsmittel,CC200,PC-TRAIN,Merck,,BK100241,Handschuhe Nachbestellung
2025-04-24,-12031.32,5010,Material Verbrauchsmittel,CC200,PC-CONSULT,Fisher Scientific,,BK100248,Handschuhe Nachbestellung
2025-04-24,-31855.91,6100,Miete Laborräume,CC500,PC-DIAG,Immobilien AG,,BK100277,Nebenkosten Q2
2025-04-24,-14368.82,6300,IT-Kosten,CC300,PC-TRAIN,SAP Deutschland,,BK100300,Serverkosten April
2025-04-24,-6129.03,6400,Reisekosten,CC400,PC-ADMIN,Lufthansa,,BK100322,Kundenbesuch
2025-04-25,27207.66,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100045,Laboranalysen April
2025-04-25,23838.45,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,Praxis Dr. Weber,RE100111,Diagnostik Auftrag 100111
2025-04-25,13348.73,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100168,Rahmenvertrag Abrechnung
2025-04-25,-41336.26,5000,Material Reagenzien,CC500,PC-TRAIN,Roche Diagnostics,,BK100203,Nachbestellung Assays
2025-04-25,-11956.64,6300,IT-Kosten,CC400,PC-ADMIN,SAP Deutschland,,BK100315,Serverkosten April
2025-04-26,-48009.01,5000,Material Reagenzien,CC500,PC-CONSULT,Siemens Healthineers,,BK100225,Reagenzien April
2025-04-26,-5786.25,5010,Material Verbrauchsmittel,CC200,PC-TRAIN,VWR International,,BK100235,Verbrauchsmaterial April
2025-04-27,31629.88,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,Universitätsklinikum München,RE100147,Schulung Laborpersonal
2025-04-28,4116.32,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Praxis Dr. Weber,RE100086,Schulung Laborpersonal
2025-04-28,-24938.25,5000,Material Reagenzien,CC400,PC-DIAG,Abbott,,BK100199,Reagenzien April
2025-05-01,4036.63,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,MVZ Labor Bremen,RE100081,Projektabrechnung Q2
2025-05-01,12065.29,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,Praxis Dr. Weber,RE100083,Rahmenvertrag Abrechnung
2025-05-01,-8823.46,6400,Reisekosten,CC500,PC-CONSULT,Deutsche Bahn,,BK100328,Kundenbesuch
2025-05-01,-15551.51,6500,Beratungskosten,CC200,PC-DIAG,Deloitte,,BK100347,Gutachten
2025-05-01,-15742.44,6700,Marketing,CC200,PC-DIAG,Google Ads,,BK100372,Broschüren
2025-05-01,-14799.95,6900,Sonstige Aufwendungen,CC100,PC-CONSULT,Diverse,,BK100388,Bürobedarf
2025-05-01,-6706.35,6900,Sonstige Aufwendungen,CC300,PC-DIAG,Diverse,,BK100389,Sonstiges Mai
2025-05-02,-7533.44,5000,Material Reagenzien,CC500,PC-CONSULT,Abbott,,BK100193,Reagenzien Mai
2025-05-02,-22140.31,5000,Material Reagenzien,CC200,PC-TRAIN,Abbott,,BK100222,Lieferung Testkits
2025-05-02,-6632.25,5010,Material Verbrauchsmittel,CC300,PC-DIAG,Merck,,BK100230,Pipettenspitzen
2025-05-03,15491.63,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Uniklinik Köln,RE100068,Projektabrechnung Q2
2025-05-03,18432.64,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,MVZ Labor Bremen,RE100129,Schulung Laborpersonal
2025-05-03,-8270.79,6300,IT-Kosten,CC200,PC-TRAIN,SAP Deutschland,,BK100306,Serverkosten Mai
2025-05-03,-8579.68,6300,IT-Kosten,CC100,PC-CONSULT,IT-Service Partner,,BK100308,Microsoft 365
2025-05-03,-18947.47,6800,Fortbildung,CC200,PC-ADMIN,Akademie Medizin,,BK100381,Schulung Mitarbeiter
2025-05-04,29862.09,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100090,Schulung Laborpersonal
2025-05-04,91122.35,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Universitätsklinikum München,RE100097,Laboranalysen Mai
2025-05-04,-26891.3,5000,Material Reagenzien,CC200,PC-DIAG,Beckman Coulter,,BK100179,Lieferung Testkits
2025-05-05,-14588.72,6600,Versicherungen,CC100,PC-CONSULT,Allianz,,BK100354,Betriebshaftpflicht Q2
2025-05-05,-3629.76,6900,Sonstige Aufwendungen,CC200,PC-CONSULT,Diverse,,BK100391,Bürobedarf
2025-05-06,25755.24,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Universitätsklinikum München,RE100017,Projektabrechnung Q2
2025-05-06,4067.54,4100,Sonstige Erlöse,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100121,Beratungsleistung
2025-05-06,13625.91,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,MVZ Labor Bremen,RE100131,Schulung Laborpersonal
2025-05-06,-6576.23,5000,Material Reagenzien,CC400,PC-TRAIN,Beckman Coulter,,BK100183,Lieferung Testkits
2025-05-06,-57080.7,5000,Material Reagenzien,CC500,PC-DIAG,Roche Diagnostics,,BK100221,Lieferung Testkits
2025-05-06,-4493.84,6500,Beratungskosten,CC200,PC-TRAIN,McKinsey,,BK100335,Strategieberatung
2025-05-07,17570.91,4000,Umsatzerlöse Labordiagnostik,CC100,PC-DIAG,,Krankenhaus Nordwest,RE100066,Projektabrechnung Q2
2025-05-07,7596.18,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100101,Rahmenvertrag Abrechnung
2025-05-07,-15217.64,5010,Material Verbrauchsmittel,CC200,PC-ADMIN,Merck,,BK100244,Handschuhe Nachbestellung
2025-05-07,-3065.63,6200,Wartung Geräte,CC500,PC-DIAG,Siemens Healthineers,,BK100285,Wartung Analysegerät
2025-05-07,-17216.16,6600,Versicherungen,CC300,PC-DIAG,Allianz,,BK100351,Betriebshaftpflicht Q2
2025-05-08,1974.25,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Uniklinik Köln,RE100014,Rahmenvertrag Abrechnung
2025-05-08,-18235.79,5000,Material Reagenzien,CC500,PC-CONSULT,Abbott,,BK100197,Reagenzien Mai
2025-05-08,-59372.27,5000,Material Reagenzien,CC400,PC-DIAG,Siemens Healthineers,,BK100228,Nachbestellung Assays
2025-05-08,-10811.06,5020,Fremdleistungen Labor,CC400,PC-ADMIN,Bioscientia,,BK100266,Externe Laborleistung
2025-05-08,-12513.12,6800,Fortbildung,CC200,PC-ADMIN,Akademie Medizin,,BK100378,Schulung Mitarbeiter
2025-05-09,6773.93,4100,Sonstige Erlöse,CC200,PC-CONSULT,,Praxis Dr. Weber,RE100049,Projektabrechnung Q2
2025-05-09,26715.75,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,Universitätsklinikum München,RE100120,Diagnostik Auftrag 100120
2025-05-09,-9563.85,6400,Reisekosten,CC500,PC-CONSULT,Booking.com,,BK100321,Dienstreise Mai
2025-05-09,-3958.63,6500,Beratungskosten,CC500,PC-CONSULT,McKinsey,,BK100345,Strategieberatung
2025-05-10,2186.51,4100,Sonstige Erlöse,CC200,PC-CONSULT,,Uniklinik Köln,RE100005,Diagnostik Auftrag 100005
2025-05-10,19736.26,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Praxis Dr. Weber,RE100006,Beratungsleistung
2025-05-10,3242.79,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Charité Berlin,RE100143,Laboranalysen Mai
2025-05-10,2763.99,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100155,Projektabrechnung Q2
2025-05-10,-23237.05,5000,Material Reagenzien,CC200,PC-TRAIN,Abbott,,BK100174,Chemikalien Q2
2025-05-10,-13737.81,5000,Material Reagenzien,CC100,PC-TRAIN,Beckman Coulter,,BK100227,Reagenzien Mai
2025-05-10,-9931.81,6200,Wartung Geräte,CC200,PC-DIAG,Siemens Healthineers,,BK100290,Große Revision Cobas
2025-05-10,-5768.51,6400,Reisekosten,CC400,PC-DIAG,Booking.com,,BK100325,Dienstreise Mai
2025-05-10,-9914.76,6500,Beratungskosten,CC400,PC-ADMIN,McKinsey,,BK100346,Gutachten
2025-05-11,16225.77,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Praxis Dr. Weber,RE100008,Schulung Laborpersonal
2025-05-11,6053.96,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Universitätsklinikum München,RE100023,Rahmenvertrag Abrechnung
2025-05-11,80452.42,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Charité Berlin,RE100028,Beratungsleistung
2025-05-11,-27406.03,5000,Material Reagenzien,CC400,PC-DIAG,Beckman Coulter,,BK100202,Nachbestellung Assays
2025-05-11,-7717.22,6300,IT-Kosten,CC200,PC-CONSULT,IT-Service Partner,,BK100309,Microsoft 365
2025-05-12,91188.23,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,Krankenhaus Nordwest,RE100148,Rahmenvertrag Abrechnung
2025-05-12,-50393.25,5000,Material Reagenzien,CC100,PC-CONSULT,Siemens Healthineers,,BK100175,Chemikalien Q2
2025-05-12,-10541.18,5020,Fremdleistungen Labor,CC500,PC-CONSULT,Sonic Healthcare,,BK100259,Fremdanalyse Spezialtest
2025-05-12,-10068.58,6200,Wartung Geräte,CC400,PC-CONSULT,Siemens Healthineers,,BK100283,Wartung Analysegerät
2025-05-12,-10813.58,6300,IT-Kosten,CC300,PC-CONSULT,SAP Deutschland,,BK100307,Serverkosten Mai
2025-05-13,1262.26,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Krankenhaus Nordwest,RE100141,Diagnostik Auftrag 100141
2025-05-13,-7241.41,5000,Material Reagenzien,CC300,PC-CONSULT,Siemens Healthineers,,BK100171,Reagenzien Mai
2025-05-13,-9571.39,5010,Material Verbrauchsmittel,CC300,PC-DIAG,Fisher Scientific,,BK100236,Handschuhe Nachbestellung
2025-05-13,-16620.33,5010,Material Verbrauchsmittel,CC200,PC-CONSULT,VWR International,,BK100240,Handschuhe Nachbestellung
2025-05-14,25476.52,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Universitätsklinikum München,RE100100,Diagnostik Auftrag 100100
2025-05-14,81674.89,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100140,Projektabrechnung Q2
2025-05-14,33684.81,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,MVZ Labor Bremen,RE100164,Projektabrechnung Q2
2025-05-14,-31466.58,5000,Material Reagenzien,CC400,PC-DIAG,Abbott,,BK100180,Lieferung Testkits
2025-05-14,-4204.15,5010,Material Verbrauchsmittel,CC200,PC-ADMIN,Fisher Scientific,,BK100251,Pipettenspitzen
2025-05-15,10533.75,4020,Umsatzerlöse Schulungen,CC100,PC-TRAIN,,Charité Berlin,RE100046,Schulung Laborpersonal
2025-05-15,11336.44,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Universitätsklinikum München,RE100047,Rahmenvertrag Abrechnung
2025-05-15,-9978.37,5000,Material Reagenzien,CC300,PC-TRAIN,Siemens Healthineers,,BK100186,Nachbestellung Assays
2025-05-15,-43203.57,5000,Material Reagenzien,CC300,PC-TRAIN,Abbott,,BK100188,Reagenzien Mai
2025-05-15,-45213.94,5000,Material Reagenzien,CC500,PC-DIAG,Siemens Healthineers,,BK100207,Reagenzien Mai
2025-05-15,-7816.09,5010,Material Verbrauchsmittel,CC500,PC-DIAG,Fisher Scientific,,BK100253,Handschuhe Nachbestellung
2025-05-15,-15838.51,6500,Beratungskosten,CC500,PC-ADMIN,Deloitte,,BK100334,Gutachten
2025-05-15,-120000.0,6200,Wartung Geräte,CC100,PC-DIAG,Roche Diagnostics,,BK999999,Große Revision Cobas 8000 - Sonderinspektion
2025-05-16,3909.41,4100,Sonstige Erlöse,CC100,PC-DIAG,,Universitätsklinikum München,RE100036,Laboranalysen Mai
2025-05-16,6751.8,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Krankenhaus Nordwest,RE100098,Laboranalysen Mai
2025-05-16,97587.2,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,Praxis Dr. Weber,RE100102,Projektabrechnung Q2
2025-05-16,-18440.14,5020,Fremdleistungen Labor,CC300,PC-DIAG,Synlab,,BK100263,Fremdanalyse Spezialtest
2025-05-16,-12190.31,6200,Wartung Geräte,CC500,PC-ADMIN,TechService GmbH,,BK100284,Inspektion Automat
2025-05-16,-11253.69,6500,Beratungskosten,CC300,PC-TRAIN,McKinsey,,BK100344,Prozessoptimierung
2025-05-16,-13131.88,6700,Marketing,CC100,PC-CONSULT,Agentur Kreativ,,BK100361,Messebeteiligung
2025-05-17,3703.09,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100104,Laboranalysen Mai
2025-05-17,15265.26,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,Universitätsklinikum München,RE100152,Schulung Laborpersonal
2025-05-17,-15534.93,6500,Beratungskosten,CC300,PC-CONSULT,McKinsey,,BK100338,Strategieberatung
