posting_date,amount,account,account_name,cost_center,profit_center,vendor,customer,document_no,text
2024-04-15,7861.71,4100,Sonstige Erlöse,CC300,PC-DIAG,,Krankenhaus Nordwest,RE100128,Laboranalysen April
2024-04-15,-4280.47,5020,Fremdleistungen Labor,CC100,PC-TRAIN,Sonic Healthcare,,BK100255,Externe Laborleistung
2024-04-16,68417.63,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100118,Beratungsleistung
2024-04-17,5630.65,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Universitätsklinikum München,RE100089,Schulung Laborpersonal
2024-04-17,3892.73,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100123,Rahmenvertrag Abrechnung
2024-04-17,-10548.3,6200,Wartung Geräte,CC200,PC-CONSULT,Siemens Healthineers,,BK100290,Große Revision Cobas
2024-04-17,-9464.17,6500,Beratungskosten,CC200,PC-ADMIN,McKinsey,,BK100324,Prozessoptimierung
2024-04-18,-18864.29,5010,Material Verbrauchsmittel,CC400,PC-DIAG,Merck,,BK100228,Verbrauchsmaterial April
2024-04-18,-11481.23,6800,Fortbildung,CC500,PC-TRAIN,Akademie Medizin,,BK100358,Schulung Mitarbeiter
2024-04-19,16011.11,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Universitätsklinikum München,RE100036,Rahmenvertrag Abrechnung
2024-04-19,34480.92,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Krankenhaus Nordwest,RE100132,Diagnostik Auftrag 100132
2024-04-19,-31293.79,5000,Material Reagenzien,CC100,PC-DIAG,Roche Diagnostics,,BK100185,Lieferung Testkits
2024-04-19,-14378.46,6200,Wartung Geräte,CC100,PC-ADMIN,TechService GmbH,,BK100291,Service Zentrifuge
2024-04-19,-3131.97,6400,Reisekosten,CC200,PC-CONSULT,Booking.com,,BK100322,Kundenbesuch
2024-04-19,-3739.64,6900,Sonstige Aufwendungen,CC300,PC-CONSULT,Diverse,,BK100367,Sonstiges April
2024-04-20,74593.98,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100038,Schulung Laborpersonal
2024-04-20,30693.65,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Krankenhaus Nordwest,RE100079,Projektabrechnung Q2
2024-04-20,12202.78,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Charité Berlin,RE100085,Laboranalysen April
2024-04-20,-7703.5,5010,Material Verbrauchsmittel,CC200,PC-DIAG,Merck,,BK100232,Handschuhe Nachbestellung
2024-04-20,-6425.96,5020,Fremdleistungen Labor,CC100,PC-CONSULT,Bioscientia,,BK100254,Fremdanalyse Spezialtest
2024-04-20,-15076.93,6300,IT-Kosten,CC100,PC-CONSULT,SAP Deutschland,,BK100302,SAP Lizenzen Q2
2024-04-20,-13116.84,6800,Fortbildung,CC400,PC-DIAG,Springer Verlag,,BK100357,Zertifizierung
2024-04-21,75277.2,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Krankenhaus Nordwest,RE100015,Projektabrechnung Q2
2024-04-21,15248.2,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100048,Projektabrechnung Q2
2024-04-21,81331.31,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Charité Berlin,RE100109,Laboranalysen April
2024-04-21,-11908.53,6300,IT-Kosten,CC100,PC-CONSULT,IT-Service Partner,,BK100306,Serverkosten April
2024-04-22,17833.98,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,Praxis Dr. Weber,RE100059,Rahmenvertrag Abrechnung
2024-04-22,4120.65,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100065,Laboranalysen April
2024-04-22,-204979.17,6000,Personalkosten Gehälter,CC500,PC-DIAG,Lohnbüro Müller,,BK100267,Lohnabrechnung April
2024-04-22,-3246.27,6400,Reisekosten,CC400,PC-TRAIN,Deutsche Bahn,,BK100317,Dienstreise April
2024-04-23,-14481.71,5020,Fremdleistungen Labor,CC200,PC-TRAIN,Sonic Healthcare,,BK100257,Auftragsanalyse
2024-04-23,-35599.13,6010,Personalkosten Sozialabgaben,CC400,PC-ADMIN,Lohnbüro Müller,,BK100271,Sozialabgaben April 2024
2024-04-23,-12483.63,6700,Marketing,CC200,PC-TRAIN,Agentur Kreativ,,BK100347,Messebeteiligung
2024-04-23,-3869.56,6800,Fortbildung,CC400,PC-TRAIN,Akademie Medizin,,BK100356,Zertifizierung
2024-04-24,10244.71,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Charité Berlin,RE100005,Schulung Laborpersonal
2024-04-24,6016.84,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Charité Berlin,RE100100,Rahmenvertrag Abrechnung
2024-04-24,-9719.37,6300,IT-Kosten,CC200,PC-DIAG,Microsoft,,BK100311,Serverkosten April
2024-04-24,-15544.31,6600,Versicherungen,CC500,PC-DIAG,Allianz,,BK100333,Geräteversicherung
2024-04-24,-1840.5,6600,Versicherungen,CC500,PC-CONSULT,AXA,,BK100335,Betriebshaftpflicht Q2
2024-04-24,-11384.38,6800,Fortbildung,CC100,PC-DIAG,Akademie Medizin,,BK100354,Zertifizierung
2024-04-25,5124.86,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Krankenhaus Nordwest,RE100003,Beratungsleistung
2024-04-25,18207.71,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100007,Diagnostik Auftrag 100007
2024-04-25,77486.19,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Uniklinik Köln,RE100068,Rahmenvertrag Abrechnung
2024-04-25,6028.79,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Universitätsklinikum München,RE100122,Rahmenvertrag Abrechnung
2024-04-25,7740.25,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Krankenhaus Nordwest,RE100154,Projektabrechnung Q2
2024-04-25,-4045.93,5010,Material Verbrauchsmittel,CC200,PC-ADMIN,Fisher Scientific,,BK100222,Verbrauchsmaterial April
2024-04-25,-11220.64,6600,Versicherungen,CC300,PC-CONSULT,Allianz,,BK100341,Betriebshaftpflicht Q2
2024-04-26,-27583.12,5000,Material Reagenzien,CC500,PC-CONSULT,Roche Diagnostics,,BK100165,Lieferung Testkits
2024-04-26,-4789.93,5010,Material Verbrauchsmittel,CC300,PC-ADMIN,VWR International,,BK100239,Handschuhe Nachbestellung
2024-04-26,-43073.49,6010,Personalkosten Sozialabgaben,CC300,PC-ADMIN,Lohnbüro Müller,,BK100270,Sozialabgaben April 2024
2024-04-26,-15472.23,6700,Marketing,CC200,PC-TRAIN,Agentur Kreativ,,BK100345,Messebeteiligung
2024-04-27,-8414.57,5000,Material Reagenzien,CC300,PC-CONSULT,Beckman Coulter,,BK100178,Reagenzien April
2024-04-27,-13696.1,6800,Fortbildung,CC200,PC-CONSULT,Akademie Medizin,,BK100355,Fachkongress
2024-04-28,21707.41,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100019,Laboranalysen April
2024-04-28,1351.53,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Uniklinik Köln,RE100069,Schulung Laborpersonal
2024-04-28,-13458.9,5010,Material Verbrauchsmittel,CC300,PC-ADMIN,Fisher Scientific,,BK100241,Pipettenspitzen
2024-04-28,-13827.73,6200,Wartung Geräte,CC200,PC-CONSULT,Roche Diagnostics,,BK100276,Inspektion Automat
2024-04-28,-10580.04,6300,IT-Kosten,CC100,PC-TRAIN,Microsoft,,BK100310,SAP Lizenzen Q2
2024-05-01,8217.18,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100018,Projektabrechnung Q2
2024-05-01,15369.25,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100078,Rahmenvertrag Abrechnung
2024-05-01,13018.93,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Universitätsklinikum München,RE100082,Beratungsleistung
2024-05-01,4083.63,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Charité Berlin,RE100155,Schulung Laborpersonal
2024-05-01,-5024.35,6700,Marketing,CC100,PC-ADMIN,Agentur Kreativ,,BK100346,Broschüren
2024-05-01,-13048.34,6900,Sonstige Aufwendungen,CC200,PC-TRAIN,Diverse,,BK100371,Kleinmaterial
2024-05-02,-30647.16,5000,Material Reagenzien,CC500,PC-DIAG,Abbott,,BK100221,Reagenzien Mai
2024-05-02,-6454.72,6500,Beratungskosten,CC400,PC-TRAIN,McKinsey,,BK100328,Strategieberatung
2024-05-02,-11685.33,6600,Versicherungen,CC400,PC-CONSULT,AXA,,BK100342,Betriebshaftpflicht Q2
2024-05-03,-23756.84,5000,Material Reagenzien,CC500,PC-DIAG,Abbott,,BK100202,Nachbestellung Assays
2024-05-04,4865.75,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Charité Berlin,RE100004,Beratungsleistung
2024-05-04,14292.76,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100105,Diagnostik Auftrag 100105
2024-05-04,-28116.74,5000,Material Reagenzien,CC400,PC-CONSULT,Siemens Healthineers,,BK100181,Lieferung Testkits
2024-05-05,5864.23,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100041,Schulung Laborpersonal
2024-05-05,20876.32,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Universitätsklinikum München,RE100080,Beratungsleistung
2024-05-06,49601.46,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Praxis Dr. Weber,RE100094,Beratungsleistung
2024-05-06,15998.65,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Uniklinik Köln,RE100102,Beratungsleistung
2024-05-06,-4077.37,5020,Fremdleistungen Labor,CC300,PC-TRAIN,Sonic Healthcare,,BK100264,Fremdanalyse Spezialtest
2024-05-07,-28401.93,6100,Miete Laborräume,CC300,PC-TRAIN,Immobilien AG,,BK100272,Miete Mai 2024
2024-05-07,-7275.0,6600,Versicherungen,CC300,PC-DIAG,Allianz,,BK100343,Geräteversicherung
2024-05-08,16750.75,4000,Umsatzerlöse Labordiagnostik,CC100,PC-DIAG,,Charité Berlin,RE100000,Rahmenvertrag Abrechnung
2024-05-08,-6721.87,5010,Material Verbrauchsmittel,CC400,PC-ADMIN,VWR International,,BK100229,Pipettenspitzen
2024-05-08,-4690.53,6200,Wartung Geräte,CC400,PC-ADMIN,TechService GmbH,,BK100275,Inspektion Automat
2024-05-08,-8216.96,6700,Marketing,CC500,PC-TRAIN,Agentur Kreativ,,BK100352,Messebeteiligung
2024-05-09,12411.87,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100010,Rahmenvertrag Abrechnung
2024-05-09,-33949.35,5000,Material Reagenzien,CC100,PC-CONSULT,Siemens Healthineers,,BK100210,Nachbestellung Assays
2024-05-09,-16512.61,6500,Beratungskosten,CC500,PC-DIAG,KPMG,,BK100326,Strategieberatung
2024-05-10,13322.0,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Universitätsklinikum München,RE100108,Projektabrechnung Q2
2024-05-10,-33863.84,5000,Material Reagenzien,CC200,PC-CONSULT,Roche Diagnostics,,BK100187,Reagenzien Mai
2024-05-10,-18124.89,5000,Material Reagenzien,CC400,PC-CONSULT,Roche Diagnostics,,BK100192,Chemikalien Q2
2024-05-10,-43707.86,5000,Material Reagenzien,CC500,PC-DIAG,Beckman Coulter,,BK100211,Lieferung Testkits
2024-05-10,-9632.63,6300,IT-Kosten,CC500,PC-ADMIN,IT-Service Partner,,BK100309,Serverkosten Mai
2024-05-11,3291.47,4100,Sonstige Erlöse,CC200,PC-CONSULT,,MVZ Labor Bremen,RE100081,Schulung Laborpersonal
2024-05-11,-38096.77,5000,Material Reagenzien,CC100,PC-TRAIN,Beckman Coulter,,BK100176,Chemikalien Q2
2024-05-11,-31604.31,5000,Material Reagenzien,CC400,PC-DIAG,Abbott,,BK100177,Lieferung Testkits
2024-05-11,-11085.68,6200,Wartung Geräte,CC100,PC-ADMIN,Roche Diagnostics,,BK100288,Inspektion Automat
2024-05-12,7284.76,4100,Sonstige Erlöse,CC100,PC-DIAG,,Labor Gemeinschaft Bayern,RE100014,Diagnostik Auftrag 100014
2024-05-12,30047.84,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100054,Diagnostik Auftrag 100054
2024-05-12,-41717.47,5000,Material Reagenzien,CC300,PC-DIAG,Beckman Coulter,,BK100208,Chemikalien Q2
2024-05-12,-32054.52,5000,Material Reagenzien,CC500,PC-TRAIN,Siemens Healthineers,,BK100217,Chemikalien Q2
2024-05-13,24618.9,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,MVZ Labor Bremen,RE100062,Beratungsleistung
2024-05-13,-9858.76,6700,Marketing,CC300,PC-TRAIN,Google Ads,,BK100348,Messebeteiligung
2024-05-13,-8166.22,6800,Fortbildung,CC100,PC-CONSULT,Springer Verlag,,BK100363,Schulung Mitarbeiter
2024-05-14,3316.17,4100,Sonstige Erlöse,CC100,PC-DIAG,,Krankenhaus Nordwest,RE100075,Schulung Laborpersonal
2024-05-14,-4817.18,6200,Wartung Geräte,CC400,PC-ADMIN,Siemens Healthineers,,BK100292,Service Zentrifuge
2024-05-14,-1868.59,6700,Marketing,CC200,PC-DIAG,Agentur Kreativ,,BK100350,Broschüren
2024-05-15,5521.32,4100,Sonstige Erlöse,CC100,PC-DIAG,,MVZ Labor Bremen,RE100097,Laboranalysen Mai
2024-05-15,-43022.21,5000,Material Reagenzien,CC300,PC-TRAIN,Abbott,,BK100162,Reagenzien Mai
2024-05-15,-17522.79,6500,Beratungskosten,CC100,PC-CONSULT,Deloitte,,BK100329,Prozessoptimierung
2024-05-16,27395.34,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Uniklinik Köln,RE100067,Rahmenvertrag Abrechnung
2024-05-16,55184.5,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Uniklinik Köln,RE100104,Diagnostik Auftrag 100104
2024-05-17,65382.8,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,Krankenhaus Nordwest,RE100060,Beratungsleistung
2024-05-17,11396.8,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100115,Diagnostik Auftrag 100115
2024-05-17,-28746.64,5000,Material Reagenzien,CC500,PC-DIAG,Beckman Coulter,,BK100170,Lieferung Testkits
2024-05-17,-7967.63,5000,Material Reagenzien,CC100,PC-DIAG,Beckman Coulter,,BK100203,Chemikalien Q2
2024-05-17,-8105.27,5010,Material Verbrauchsmittel,CC300,PC-CONSULT,Fisher Scientific,,BK100224,Pipettenspitzen
2024-05-17,-8601.78,6200,Wartung Geräte,CC100,PC-DIAG,Roche Diagnostics,,BK100277,Große Revision Cobas
2024-05-17,-8486.77,6200,Wartung Geräte,CC500,PC-TRAIN,TechService GmbH,,BK100278,Service Zentrifuge
2024-05-18,6974.14,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100077,Schulung Laborpersonal
2024-05-18,-20067.17,5000,Material Reagenzien,CC500,PC-DIAG,Abbott,,BK100212,Lieferung Testkits
2024-05-18,-18760.41,6700,Marketing,CC200,PC-CONSULT,Google Ads,,BK100351,Messebeteiligung
2024-05-19,2707.04,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100093,Beratungsleistung
2024-05-19,-2097.0,6500,Beratungskosten,CC300,PC-DIAG,Deloitte,,BK100325,Gutachten
2024-05-20,18234.96,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Krankenhaus Nordwest,RE100066,Rahmenvertrag Abrechnung
2024-05-20,14400.48,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100070,Projektabrechnung Q2
2024-05-20,10132.15,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Labor Gemeinschaft Bayern,RE100142,Projektabrechnung Q2
2024-05-20,-21324.64,5000,Material Reagenzien,CC300,PC-CONSULT,Abbott,,BK100161,Reagenzien Mai
2024-05-20,-26222.27,5000,Material Reagenzien,CC100,PC-DIAG,Beckman Coulter,,BK100174,Chemikalien Q2
2024-05-20,-7191.28,5000,Material Reagenzien,CC200,PC-CONSULT,Siemens Healthineers,,BK100191,Nachbestellung Assays
2024-05-20,-1099.77,5010,Material Verbrauchsmittel,CC300,PC-CONSULT,VWR International,,BK100227,Pipettenspitzen
2024-05-20,-6822.36,6200,Wartung Geräte,CC500,PC-TRAIN,Roche Diagnostics,,BK100286,Inspektion Automat
2024-05-21,1738.77,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Uniklinik Köln,RE100090,Schulung Laborpersonal
2024-05-21,34917.53,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100119,Beratungsleistung
2024-05-21,-19620.52,5020,Fremdleistungen Labor,CC400,PC-TRAIN,Synlab,,BK100247,Fremdanalyse Spezialtest
2024-05-21,-6295.11,5020,Fremdleistungen Labor,CC200,PC-ADMIN,Synlab,,BK100252,Fremdanalyse Spezialtest
2024-05-21,-12394.85,6200,Wartung Geräte,CC100,PC-ADMIN,Siemens Healthineers,,BK100289,Service Zentrifuge
2024-05-21,-4789.66,6300,IT-Kosten,CC300,PC-DIAG,Microsoft,,BK100305,Microsoft 365
2024-05-22,27249.62,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100024,Projektabrechnung Q2
2024-05-22,14440.71,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100084,Schulung Laborpersonal
2024-05-22,5842.51,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100098,Projektabrechnung Q2
2024-05-22,-42885.21,5000,Material Reagenzien,CC300,PC-ADMIN,Beckman Coulter,,BK100219,Chemikalien Q2
2024-05-22,-10829.84,5020,Fremdleistungen Labor,CC500,PC-CONSULT,Synlab,,BK100262,Auftragsanalyse
2024-05-22,-2812.32,6400,Reisekosten,CC300,PC-CONSULT,Lufthansa,,BK100314,Kongress Teilnahme
2024-05-22,-16733.18,6800,Fortbildung,CC100,PC-DIAG,Akademie Medizin,,BK100362,Zertifizierung
2024-05-23,59478.27,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,Krankenhaus Nordwest,RE100158,Diagnostik Auftrag 100158
